University_Name,Year,Tution_Fee,Controlofinstitution,State
Abilene Christian University,2011,22760,Private,Texas
Abilene Christian University,2012,25270,Private,Texas
Abilene Christian University,2013,26770,Private,Texas
Abilene Christian University,2014,28350,Private,Texas
Abilene Christian University,2015,30830,Private,Texas
Adams State University,2011,4971,Public,Colorado
Adams State University,2012,5627,Public,Colorado
Adams State University,2013,6448,Public,Colorado
Adams State University,2014,7449,Public,Colorado
Adams State University,2015,8014,Public,Colorado
Adelphi University,2011,27900,Private,New York
Adelphi University,2012,28460,Private,New York
Adelphi University,2013,29320,Private,New York
Adelphi University,2014,30800,Private,New York
Adelphi University,2015,34034,Private,New York
Adrian College,2011,25900,Private,Michigan
Adrian College,2012,27440,Private,Michigan
Adrian College,2013,29156,Private,Michigan
Adrian College,2014,30758,Private,Michigan
Adrian College,2015,33610,Private,Michigan
Agnes Scott College,2011,31283,Private,Georgia
Agnes Scott College,2012,32195,Private,Georgia
Agnes Scott College,2013,33461,Private,Georgia
Agnes Scott College,2014,34788,Private,Georgia
Agnes Scott College,2015,37236,Private,Georgia
Alabama A & M University,2011,5800,Public,Alabama
Alabama A & M University,2012,6828,Public,Alabama
Alabama A & M University,2013,7182,Public,Alabama
Alabama A & M University,2014,7182,Public,Alabama
Alabama A & M University,2015,6340,Public,Alabama
Alabama State University,2011,7164,Public,Alabama
Alabama State University,2012,8082,Public,Alabama
Alabama State University,2013,7932,Public,Alabama
Alabama State University,2014,8720,Public,Alabama
Alabama State University,2015,8720,Public,Alabama
Alaska Pacific University,2011,26360,Private,Alaska
Alaska Pacific University,2012,27110,Private,Alaska
Alaska Pacific University,2013,29810,Private,Alaska
Alaska Pacific University,2014,29810,Private,Alaska
Alaska Pacific University,2015,33280,Private,Alaska
Albany State University,2011,4592,Public,Georgia
Albany State University,2012,5802,Public,Georgia
Albany State University,2013,5912,Public,Georgia
Albany State University,2014,6024,Public,Georgia
Albany State University,2015,6258,Public,Georgia
Albertus Magnus College,2011,24374,Private,Connecticut
Albertus Magnus College,2012,26294,Private,Connecticut
Albertus Magnus College,2013,28358,Private,Connecticut
Albertus Magnus College,2014,28378,Private,Connecticut
Albertus Magnus College,2015,29650,Private,Connecticut
Albion College,2011,31186,Private,Michigan
Albion College,2012,32662,Private,Michigan
Albion College,2013,34194,Private,Michigan
Albion College,2014,36051,Private,Michigan
Albion College,2015,39128,Private,Michigan
Albright College,2011,32740,Private,Pennsylvania
Albright College,2012,33990,Private,Pennsylvania
Albright College,2013,35320,Private,Pennsylvania
Albright College,2014,36660,Private,Pennsylvania
Albright College,2015,39850,Private,Pennsylvania
Alcorn State University,2011,4858,Public,Mississippi
Alcorn State University,2012,5247,Public,Mississippi
Alcorn State University,2013,5712,Public,Mississippi
Alcorn State University,2014,6108,Public,Mississippi
Alcorn State University,2015,6200,Public,Mississippi
Alderson Broaddus University,2011,22204,Private,West Virginia
Alderson Broaddus University,2012,22740,Private,West Virginia
Alderson Broaddus University,2013,22740,Private,West Virginia
Alderson Broaddus University,2014,22740,Private,West Virginia
Alderson Broaddus University,2015,24140,Private,West Virginia
Alfred University,2011,25976,Private,New York
Alfred University,2012,26884,Private,New York
Alfred University,2013,27794,Private,New York
Alfred University,2014,25430,Private,New York
Alfred University,2015,30200,Private,New York
Alice Lloyd College,2011,9500,Private,Kentucky
Alice Lloyd College,2012,9600,Private,Kentucky
Alice Lloyd College,2013,10100,Private,Kentucky
Alice Lloyd College,2014,10620,Private,Kentucky
Alice Lloyd College,2015,11460,Private,Kentucky
Allegheny College,2011,34810,Private,Pennsylvania
Allegheny College,2012,36190,Private,Pennsylvania
Allegheny College,2013,37610,Private,Pennsylvania
Allegheny College,2014,39100,Private,Pennsylvania
Allegheny College,2015,42470,Private,Pennsylvania
Allen University,2011,10884,Private,South Carolina
Allen University,2012,11940,Private,South Carolina
Allen University,2013,12140,Private,South Carolina
Allen University,2014,11940,Private,South Carolina
Allen University,2015,12970,Private,South Carolina
Alliant International University,2011,4918,Private,California
Alliant International University,2012,4250,Private,California
Alliant International University,2013,15190,Private,California
Alliant International University,2014,15816,Private,California
Alliant International University,2015,19930,Private,California
Alma College,2011,27580,Private,Michigan
Alma College,2012,29230,Private,Michigan
Alma College,2013,30960,Private,Michigan
Alma College,2014,32660,Private,Michigan
Alma College,2015,35806,Private,Michigan
Alvernia University,2011,25480,Private,Pennsylvania
Alvernia University,2012,26630,Private,Pennsylvania
Alvernia University,2013,27950,Private,Pennsylvania
Alvernia University,2014,29060,Private,Pennsylvania
Alvernia University,2015,31100,Private,Pennsylvania
Alverno College,2011,20060,Private,Wisconsin
Alverno College,2012,21069,Private,Wisconsin
Alverno College,2013,22126,Private,Wisconsin
Alverno College,2014,23231,Private,Wisconsin
Alverno College,2015,256602,Private,Wisconsin
American Indian College of the Assemblies of God Inc,2011,9750,Private,Arizona
American Indian College of the Assemblies of God Inc,2012,10500,Private,Arizona
American Indian College of the Assemblies of God Inc,2013,11700,Private,Arizona
American Indian College of the Assemblies of God Inc,2014,12000,Private,Arizona
American Indian College of the Assemblies of God Inc,2015,11700,Private,Arizona
American International College,2011,26700,Private,Massachusetts
American International College,2012,27902,Private,Massachusetts
American International College,2013,29158,Private,Massachusetts
American International College,2014,30040,Private,Massachusetts
American International College,2015,31868,Private,Massachusetts
American Jewish University,2011,24542,Private,California
American Jewish University,2012,25788,Private,California
American Jewish University,2013,27080,Private,California
American Jewish University,2014,27900,Private,California
American Jewish University,2015,29606,Private,California
American University,2011,36697,Private,District of Columbia
American University,2012,38071,Private,District of Columbia
American University,2013,39499,Private,District of Columbia
American University,2014,40649,Private,District of Columbia
American University,2015,43103,Private,District of Columbia
Amherst College,2011,40862,Private,Massachusetts
Amherst College,2012,42898,Private,Massachusetts
Amherst College,2013,44610,Private,Massachusetts
Amherst College,2014,46574,Private,Massachusetts
Amherst College,2015,50562,Private,Massachusetts
Amridge University,2011,8360,Private,Alabama
Amridge University,2012,8720,Private,Alabama
Amridge University,2013,6800,Private,Alabama
Amridge University,2014,6870,Private,Alabama
Amridge University,2015,6000,Private,Alabama
Anderson University,2011,24000,Private,Indiana
Anderson University,2012,24610,Private,Indiana
Anderson University,2013,25560,Private,Indiana
Anderson University,2014,26280,Private,Indiana
Anderson University,2015,26850,Private,Indiana
Anderson University,2011,19950,Private,South Carolina
Anderson University,2012,20910,Private,South Carolina
Anderson University,2013,21730,Private,South Carolina
Anderson University,2014,22790,Private,South Carolina
Anderson University,2015,24860,Private,South Carolina
Andrews University,2011,22242,Private,Michigan
Andrews University,2012,23428,Private,Michigan
Andrews University,2013,24478,Private,Michigan
Andrews University,2014,25470,Private,Michigan
Andrews University,2015,27000,Private,Michigan
Angelo State University,2011,5672,Public,Texas
Angelo State University,2012,6211,Public,Texas
Angelo State University,2013,6327,Public,Texas
Angelo State University,2014,6559,Public,Texas
Angelo State University,2015,7864,Public,Texas
Anna Maria College,2011,28204,Private,Massachusetts
Anna Maria College,2012,29860,Private,Massachusetts
Anna Maria College,2013,30676,Private,Massachusetts
Anna Maria College,2014,32134,Private,Massachusetts
Anna Maria College,2015,34330,Private,Massachusetts
Antioch University-Seattle,2011,18405,Private,Washington
Antioch University-Seattle,2012,19305,Private,Washington
Antioch University-Seattle,2013,20055,Private,Washington
Antioch University-Seattle,2014,20595,Private,Washington
Antioch University-Seattle,2015,20160,Private,Washington
Appalachian State University,2011,5251,Public,North Carolina
Appalachian State University,2012,5538,Public,North Carolina
Appalachian State University,2013,6059,Public,North Carolina
Appalachian State University,2014,6462,Public,North Carolina
Appalachian State University,2015,6553,Public,North Carolina
Aquinas College,2011,23206,Private,Michigan
Aquinas College,2012,24286,Private,Michigan
Aquinas College,2013,25250,Private,Michigan
Aquinas College,2014,26460,Private,Michigan
Aquinas College,2015,28820,Private,Michigan
Aquinas College,2011,18330,Private,Tennessee
Aquinas College,2012,19050,Private,Tennessee
Aquinas College,2013,19800,Private,Tennessee
Aquinas College,2014,20550,Private,Tennessee
Aquinas College,2015,20550,Private,Tennessee
Arcadia University,2011,32720,Private,Pennsylvania
Arcadia University,2012,34150,Private,Pennsylvania
Arcadia University,2013,35620,Private,Pennsylvania
Arcadia University,2014,36810,Private,Pennsylvania
Arcadia University,2015,39560,Private,Pennsylvania
Arizona Christian University,2011,16174,Private,Arizona
Arizona Christian University,2012,18968,Private,Arizona
Arizona Christian University,2013,21040,Private,Arizona
Arizona Christian University,2014,21832,Private,Arizona
Arizona Christian University,2015,22465,Private,Arizona
Arizona State University-Tempe,2011,8132,Public,Arizona
Arizona State University-Tempe,2012,9720,Public,Arizona
Arizona State University-Tempe,2013,9724,Public,Arizona
Arizona State University-Tempe,2014,9861,Public,Arizona
Arizona State University-Tempe,2015,9782,Public,Arizona
Arkansas Baptist College,2011,7432,Private,Arkansas
Arkansas Baptist College,2012,7800,Private,Arkansas
Arkansas Baptist College,2013,7800,Private,Arkansas
Arkansas Baptist College,2014,8040,Private,Arkansas
Arkansas Baptist College,2015,8040,Private,Arkansas
Arkansas State University-Main Campus,2011,6640,Public,Arkansas
Arkansas State University-Main Campus,2012,6934,Public,Arkansas
Arkansas State University-Main Campus,2013,7180,Public,Arkansas
Arkansas State University-Main Campus,2014,7510,Public,Arkansas
Arkansas State University-Main Campus,2015,7025,Public,Arkansas
Arkansas Tech University,2011,4804,Public,Arkansas
Arkansas Tech University,2012,5070,Public,Arkansas
Arkansas Tech University,2013,5286,Public,Arkansas
Arkansas Tech University,2014,5598,Public,Arkansas
Arkansas Tech University,2015,7248,Public,Arkansas
Armstrong Atlantic State University,2011,4510,Public,Georgia
Armstrong Atlantic State University,2012,4854,Public,Georgia
Armstrong Atlantic State University,2013,4942,Public,Georgia
Armstrong Atlantic State University,2014,5085,Public,Georgia
Armstrong Atlantic State University,2015,6332,Public,Georgia
Asbury University,2011,23303,Private,Kentucky
Asbury University,2012,24229,Private,Kentucky
Asbury University,2013,25311,Private,Kentucky
Asbury University,2014,26076,Private,Kentucky
Asbury University,2015,26868,Private,Kentucky
Ashland University,2011,27412,Private,Ohio
Ashland University,2012,28582,Private,Ohio
Ashland University,2013,28858,Private,Ohio
Ashland University,2014,29836,Private,Ohio
Ashland University,2015,20242,Private,Ohio
Assumption College,2011,31305,Private,Massachusetts
Assumption College,2012,32545,Private,Massachusetts
Assumption College,2013,33805,Private,Massachusetts
Assumption College,2014,34975,Private,Massachusetts
Assumption College,2015,36160,Private,Massachusetts
Auburn University,2011,7900,Public,Alabama
Auburn University,2012,8698,Public,Alabama
Auburn University,2013,9446,Public,Alabama
Auburn University,2014,9852,Public,Alabama
Auburn University,2015,10424,Public,Alabama
Auburn University at Montgomery,2011,6620,Public,Alabama
Auburn University at Montgomery,2012,7580,Public,Alabama
Auburn University at Montgomery,2013,8150,Public,Alabama
Auburn University at Montgomery,2014,8750,Public,Alabama
Auburn University at Montgomery,2015,9350,Public,Alabama
Augsburg College,2011,28864,Private,Minnesota
Augsburg College,2012,30418,Private,Minnesota
Augsburg College,2013,31942,Private,Minnesota
Augsburg College,2014,33209,Private,Minnesota
Augsburg College,2015,34431,Private,Minnesota
Augustana College,2011,32235,Private,Illinois
Augustana College,2012,33363,Private,Illinois
Augustana College,2013,34614,Private,Illinois
Augustana College,2014,35835,Private,Illinois
Augustana College,2015,38466,Private,Illinois
Augustana College,2011,25104,Private,South Dakota
Augustana College,2012,26590,Private,South Dakota
Augustana College,2013,27780,Private,South Dakota
Augustana College,2014,28630,Private,South Dakota
Augustana College,2015,29550,Private,South Dakota
Aurora University,2011,18700,Private,Illinois
Aurora University,2012,19450,Private,Illinois
Aurora University,2013,20100,Private,Illinois
Aurora University,2014,20720,Private,Illinois
Aurora University,2015,21320,Private,Illinois
Austin College,2011,29235,Private,Texas
Austin College,2012,31270,Private,Texas
Austin College,2013,32850,Private,Texas
Austin College,2014,33830,Private,Texas
Austin College,2015,34840,Private,Texas
Austin Peay State University,2011,6048,Public,Tennessee
Austin Peay State University,2012,6432,Public,Tennessee
Austin Peay State University,2013,6648,Public,Tennessee
Austin Peay State University,2014,6876,Public,Tennessee
Austin Peay State University,2015,7462,Public,Tennessee
Ave Maria University,2011,18625,Private,Florida
Ave Maria University,2012,20090,Private,Florida
Ave Maria University,2013,21496,Private,Florida
Ave Maria University,2014,23000,Private,Florida
Ave Maria University,2015,17940,Private,Florida
Averett University,2011,22956,Private,Virginia
Averett University,2012,24480,Private,Virginia
Averett University,2013,25950,Private,Virginia
Averett University,2014,27500,Private,Virginia
Averett University,2015,29150,Private,Virginia
Avila University,2011,21900,Private,Missouri
Avila University,2012,23100,Private,Missouri
Avila University,2013,23950,Private,Missouri
Avila University,2014,24950,Private,Missouri
Avila University,2015,25700,Private,Missouri
Azusa Pacific University,2011,28800,Private,California
Azusa Pacific University,2012,29940,Private,California
Azusa Pacific University,2013,31076,Private,California
Azusa Pacific University,2014,32256,Private,California
Azusa Pacific University,2015,34754,Private,California
Bacone College,2011,12300,Private,Oklahoma
Bacone College,2012,12900,Private,Oklahoma
Bacone College,2013,13510,Private,Oklahoma
Bacone College,2014,14050,Private,Oklahoma
Bacone College,2015,14050,Private,Oklahoma
Baker College Center for Graduate Studies,2011,9840,Private,Michigan
Baker College Center for Graduate Studies,2012,10080,Private,Michigan
Baker College Center for Graduate Studies,2013,10320,Private,Michigan
Baker College Center for Graduate Studies,2014,10800,Private,Michigan
Baker College Center for Graduate Studies,2015,1120,Private,Michigan
Baker College of Allen Park,2011,7380,Private,Michigan
Baker College of Allen Park,2012,7560,Private,Michigan
Baker College of Allen Park,2013,7740,Private,Michigan
Baker College of Allen Park,2014,8100,Private,Michigan
Baker College of Allen Park,2015,8100,Private,Michigan
Baker College of Auburn Hills,2011,7380,Private,Michigan
Baker College of Auburn Hills,2012,7560,Private,Michigan
Baker College of Auburn Hills,2013,7740,Private,Michigan
Baker College of Auburn Hills,2014,8100,Private,Michigan
Baker College of Auburn Hills,2015,8100,Private,Michigan
Baker College of Cadillac,2011,7380,Private,Michigan
Baker College of Cadillac,2012,7560,Private,Michigan
Baker College of Cadillac,2013,7740,Private,Michigan
Baker College of Cadillac,2014,8100,Private,Michigan
Baker College of Cadillac,2015,8100,Private,Michigan
Baker College of Clinton Township,2011,7380,Private,Michigan
Baker College of Clinton Township,2012,7560,Private,Michigan
Baker College of Clinton Township,2013,7740,Private,Michigan
Baker College of Clinton Township,2014,8100,Private,Michigan
Baker College of Clinton Township,2015,8100,Private,Michigan
Baker College of Flint,2011,7380,Private,Michigan
Baker College of Flint,2012,7560,Private,Michigan
Baker College of Flint,2013,7740,Private,Michigan
Baker College of Flint,2014,8100,Private,Michigan
Baker College of Flint,2015,8100,Private,Michigan
Baker College of Jackson,2011,7380,Private,Michigan
Baker College of Jackson,2012,7560,Private,Michigan
Baker College of Jackson,2013,7740,Private,Michigan
Baker College of Jackson,2014,8100,Private,Michigan
Baker College of Jackson,2015,8100,Private,Michigan
Baker College of Muskegon,2011,7380,Private,Michigan
Baker College of Muskegon,2012,7560,Private,Michigan
Baker College of Muskegon,2013,7740,Private,Michigan
Baker College of Muskegon,2014,8100,Private,Michigan
Baker College of Muskegon,2015,8100,Private,Michigan
Baker College of Owosso,2011,7380,Private,Michigan
Baker College of Owosso,2012,7560,Private,Michigan
Baker College of Owosso,2013,7740,Private,Michigan
Baker College of Owosso,2014,8100,Private,Michigan
Baker College of Owosso,2015,8100,Private,Michigan
Baker College of Port Huron,2011,7380,Private,Michigan
Baker College of Port Huron,2012,7560,Private,Michigan
Baker College of Port Huron,2013,7740,Private,Michigan
Baker College of Port Huron,2014,8100,Private,Michigan
Baker College of Port Huron,2015,8100,Private,Michigan
Baker University,2011,22280,Private,Kansas
Baker University,2012,23390,Private,Kansas
Baker University,2013,24550,Private,Kansas
Baker University,2014,25580,Private,Kansas
Baker University,2015,26840,Private,Kansas
Baldwin Wallace University,2011,25260,Private,Ohio
Baldwin Wallace University,2012,26396,Private,Ohio
Baldwin Wallace University,2013,27060,Private,Ohio
Baldwin Wallace University,2014,27840,Private,Ohio
Baldwin Wallace University,2015,29908,Private,Ohio
Ball State University,2011,8214,Public,Indiana
Ball State University,2012,8558,Public,Indiana
Ball State University,2013,8980,Public,Indiana
Ball State University,2014,9160,Public,Indiana
Ball State University,2015,9624,Public,Indiana
Bard College,2011,41670,Private,New York
Bard College,2012,43306,Private,New York
Bard College,2013,44798,Private,New York
Bard College,2014,46370,Private,New York
Bard College,2015,49906,Private,New York
Bard College at Simon's Rock,2011,41982,Private,Massachusetts
Bard College at Simon's Rock,2012,43840,Private,Massachusetts
Bard College at Simon's Rock,2013,45125,Private,Massachusetts
Bard College at Simon's Rock,2014,46713,Private,Massachusetts
Bard College at Simon's Rock,2015,50211,Private,Massachusetts
Barnard College,2011,40546,Private,New York
Barnard College,2012,42184,Private,New York
Barnard College,2013,43502,Private,New York
Barnard College,2014,44790,Private,New York
Barnard College,2015,47631,Private,New York
Barry University,2011,27200,Private,Florida
Barry University,2012,28160,Private,Florida
Barry University,2013,28160,Private,Florida
Barry University,2014,28160,Private,Florida
Barry University,2015,28160,Private,Florida
Barton College,2011,21784,Private,North Carolina
Barton College,2012,22982,Private,North Carolina
Barton College,2013,24180,Private,North Carolina
Barton College,2014,25396,Private,North Carolina
Barton College,2015,27940,Private,North Carolina
Bates College,2011,41360,Private,Maine
Bates College,2012,42800,Private,Maine
Bates College,2013,44300,Private,Maine
Bates College,2014,45650,Private,Maine
Bates College,2015,48435,Private,Maine
Bay Path College,2011,25515,Private,Massachusetts
Bay Path College,2012,27045,Private,Massachusetts
Bay Path College,2013,28532,Private,Massachusetts
Bay Path College,2014,29959,Private,Massachusetts
Bay Path College,2015,31785,Private,Massachusetts
Baylor University,2011,29884,Private,Texas
Baylor University,2012,31658,Private,Texas
Baylor University,2013,33716,Private,Texas
Baylor University,2014,35972,Private,Texas
Baylor University,2015,40198,Private,Texas
Beacon College,2011,28210,Private,Florida
Beacon College,2012,29050,Private,Florida
Beacon College,2013,29910,Private,Florida
Beacon College,2014,31496,Private,Florida
Beacon College,2015,33016,Private,Florida
Becker College,2011,26880,Private,Massachusetts
Becker College,2012,28490,Private,Massachusetts
Becker College,2013,30340,Private,Massachusetts
Becker College,2014,31500,Private,Massachusetts
Becker College,2015,34080,Private,Massachusetts
Belhaven University,2011,17700,Private,Mississippi
Belhaven University,2012,18420,Private,Mississippi
Belhaven University,2013,19200,Private,Mississippi
Belhaven University,2014,19970,Private,Mississippi
Belhaven University,2015,21816,Private,Mississippi
Bellarmine University,2011,30310,Private,Kentucky
Bellarmine University,2012,32140,Private,Kentucky
Bellarmine University,2013,33270,Private,Kentucky
Bellarmine University,2014,34890,Private,Kentucky
Bellarmine University,2015,37650,Private,Kentucky
Bellevue University,2011,6150,Private,Nebraska
Bellevue University,2012,6540,Private,Nebraska
Bellevue University,2013,6300,Private,Nebraska
Bellevue University,2014,6300,Private,Nebraska
Bellevue University,2015,7950,Private,Nebraska
Belmont Abbey College,2011,23002,Private,North Carolina
Belmont Abbey College,2012,26182,Private,North Carolina
Belmont Abbey College,2013,27622,Private,North Carolina
Belmont Abbey College,2014,18500,Private,North Carolina
Belmont Abbey College,2015,18500,Private,North Carolina
Belmont University,2011,23680,Private,Tennessee
Belmont University,2012,24960,Private,Tennessee
Belmont University,2013,26130,Private,Tennessee
Belmont University,2014,27380,Private,Tennessee
Belmont University,2015,30000,Private,Tennessee
Beloit College,2011,35038,Private,Wisconsin
Beloit College,2012,36674,Private,Wisconsin
Beloit College,2013,38474,Private,Wisconsin
Beloit College,2014,41250,Private,Wisconsin
Beloit College,2015,45050,Private,Wisconsin
Bemidji State University,2011,7497,Public,Minnesota
Bemidji State University,2012,7858,Public,Minnesota
Bemidji State University,2013,8107,Public,Minnesota
Bemidji State University,2014,8124,Public,Minnesota
Bemidji State University,2015,8152,Public,Minnesota
Benedict College,2011,16370,Private,South Carolina
Benedict College,2012,17190,Private,South Carolina
Benedict College,2013,18254,Private,South Carolina
Benedict College,2014,18254,Private,South Carolina
Benedict College,2015,18288,Private,South Carolina
Benedictine College,2011,20475,Private,Kansas
Benedictine College,2012,21475,Private,Kansas
Benedictine College,2013,22800,Private,Kansas
Benedictine College,2014,23900,Private,Kansas
Benedictine College,2015,26200,Private,Kansas
Benedictine University,2011,23240,Private,Illinois
Benedictine University,2012,23184,Private,Illinois
Benedictine University,2013,24137,Private,Illinois
Benedictine University,2014,25516,Private,Illinois
Benedictine University,2015,26950,Private,Illinois
Bennett College,2011,15844,Private,North Carolina
Bennett College,2012,16794,Private,North Carolina
Bennett College,2013,16794,Private,North Carolina
Bennett College,2014,17355,Private,North Carolina
Bennett College,2015,17130,Private,North Carolina
Bennington College,2011,41350,Private,Vermont
Bennington College,2012,42800,Private,Vermont
Bennington College,2013,44220,Private,Vermont
Bennington College,2014,45080,Private,Vermont
Bennington College,2015,48220,Private,Vermont
Bentley University,2011,37058,Private,Massachusetts
Bentley University,2012,38328,Private,Massachusetts
Bentley University,2013,39628,Private,Massachusetts
Bentley University,2014,41110,Private,Massachusetts
Bentley University,2015,44085,Private,Massachusetts
Berea College,2011,910,Private,Kentucky
Berea College,2012,910,Private,Kentucky
Berea College,2013,21880,Private,Kentucky
Berea College,2014,23170,Private,Kentucky
Berea College,2015,870,Private,Kentucky
Berry College,2011,24620,Private,Georgia
Berry College,2012,26090,Private,Georgia
Berry College,2013,27650,Private,Georgia
Berry College,2014,29090,Private,Georgia
Berry College,2015,31996,Private,Georgia
Bethany College,2011,20026,Private,Kansas
Bethany College,2012,21677,Private,Kansas
Bethany College,2013,22624,Private,Kansas
Bethany College,2014,23305,Private,Kansas
Bethany College,2015,25170,Private,Kansas
Bethany College,2011,22596,Private,West Virginia
Bethany College,2012,23854,Private,West Virginia
Bethany College,2013,24780,Private,West Virginia
Bethany College,2014,25736,Private,West Virginia
Bethany College,2015,26500,Private,West Virginia
Bethany Lutheran College,2011,21080,Private,Minnesota
Bethany Lutheran College,2012,22410,Private,Minnesota
Bethany Lutheran College,2013,23270,Private,Minnesota
Bethany Lutheran College,2014,24080,Private,Minnesota
Bethany Lutheran College,2015,25170,Private,Minnesota
Bethel College-Indiana,2011,22590,Private,Indiana
Bethel College-Indiana,2012,23630,Private,Indiana
Bethel College-Indiana,2013,24280,Private,Indiana
Bethel College-Indiana,2014,24970,Private,Indiana
Bethel College-Indiana,2015,26590,Private,Indiana
Bethel College-North Newton,2011,20700,Private,Kansas
Bethel College-North Newton,2012,21700,Private,Kansas
Bethel College-North Newton,2013,22600,Private,Kansas
Bethel College-North Newton,2014,23500,Private,Kansas
Bethel College-North Newton,2015,25410,Private,Kansas
Bethel University,2011,28080,Private,Minnesota
Bethel University,2012,29460,Private,Minnesota
Bethel University,2013,30840,Private,Minnesota
Bethel University,2014,31760,Private,Minnesota
Bethel University,2015,34140,Private,Minnesota
Bethel University,2011,12242,Private,Tennessee
Bethel University,2012,13552,Private,Tennessee
Bethel University,2013,14520,Private,Tennessee
Bethel University,2014,15714,Private,Tennessee
Bethel University,2015,15714,Private,Tennessee
Bethune-Cookman University,2011,13452,Private,Florida
Bethune-Cookman University,2012,13990,Private,Florida
Bethune-Cookman University,2013,14410,Private,Florida
Bethune-Cookman University,2014,14410,Private,Florida
Bethune-Cookman University,2015,14410,Private,Florida
Biola University,2011,28852,Private,California
Biola University,2012,29908,Private,California
Biola University,2013,31004,Private,California
Biola University,2014,32142,Private,California
Biola University,2015,34498,Private,California
Birmingham Southern College,2011,27890,Private,Alabama
Birmingham Southern College,2012,29290,Private,Alabama
Birmingham Southern College,2013,30690,Private,Alabama
Birmingham Southern College,2014,30690,Private,Alabama
Birmingham Southern College,2015,33128,Private,Alabama
Black Hills State University,2011,6951,Public,South Dakota
Black Hills State University,2012,7424,Public,South Dakota
Black Hills State University,2013,7320,Public,South Dakota
Black Hills State University,2014,7617,Public,South Dakota
Black Hills State University,2015,7617,Public,South Dakota
Blackburn College,2011,14996,Private,Illinois
Blackburn College,2012,16296,Private,Illinois
Blackburn College,2013,17502,Private,Illinois
Blackburn College,2014,18506,Private,Illinois
Blackburn College,2015,20364,Private,Illinois
Bloomfield College,2011,22400,Private,New Jersey
Bloomfield College,2012,23700,Private,New Jersey
Bloomfield College,2013,25050,Private,New Jersey
Bloomfield College,2014,25880,Private,New Jersey
Bloomfield College,2015,27800,Private,New Jersey
Bloomsburg University of Pennsylvania,2011,7456,Public,Pennsylvania
Bloomsburg University of Pennsylvania,2012,8082,Public,Pennsylvania
Bloomsburg University of Pennsylvania,2013,8344,Public,Pennsylvania
Bloomsburg University of Pennsylvania,2014,8582,Public,Pennsylvania
Bloomsburg University of Pennsylvania,2015,9326,Public,Pennsylvania
Blue Mountain College,2011,8920,Private,Mississippi
Blue Mountain College,2012,9130,Private,Mississippi
Blue Mountain College,2013,9230,Private,Mississippi
Blue Mountain College,2014,9470,Private,Mississippi
Blue Mountain College,2015,10852,Private,Mississippi
Bluefield College,2011,18800,Private,Virginia
Bluefield College,2012,19980,Private,Virginia
Bluefield College,2013,21060,Private,Virginia
Bluefield College,2014,22390,Private,Virginia
Bluefield College,2015,23296,Private,Virginia
Bluefield State College,2011,4596,Public,West Virginia
Bluefield State College,2012,4908,Public,West Virginia
Bluefield State College,2013,5180,Public,West Virginia
Bluefield State College,2014,5564,Public,West Virginia
Bluefield State College,2015,6876,Public,West Virginia
Bluffton University,2011,24930,Private,Ohio
Bluffton University,2012,26154,Private,Ohio
Bluffton University,2013,27426,Private,Ohio
Bluffton University,2014,28504,Private,Ohio
Bluffton University,2015,30168,Private,Ohio
Boise State University,2011,5300,Public,Idaho
Boise State University,2012,5566,Public,Idaho
Boise State University,2013,5884,Public,Idaho
Boise State University,2014,6292,Public,Idaho
Boise State University,2015,6876,Public,Idaho
Boricua College,2011,9525,Private,New York
Boricua College,2012,11025,Private,New York
Boricua College,2013,11025,Private,New York
Boricua College,2014,11025,Private,New York
Boricua College,2015,10625,Private,New York
Boston College,2011,40542,Private,Massachusetts
Boston College,2012,42204,Private,Massachusetts
Boston College,2013,43878,Private,Massachusetts
Boston College,2014,45622,Private,Massachusetts
Boston College,2015,49324,Private,Massachusetts
Boston University,2011,39864,Private,Massachusetts
Boston University,2012,41420,Private,Massachusetts
Boston University,2013,42994,Private,Massachusetts
Boston University,2014,44880,Private,Massachusetts
Boston University,2015,48436,Private,Massachusetts
Bowdoin College,2011,41565,Private,Maine
Bowdoin College,2012,42816,Private,Maine
Bowdoin College,2013,44118,Private,Maine
Bowdoin College,2014,45446,Private,Maine
Bowdoin College,2015,48212,Private,Maine
Bowie State University,2011,6154,Public,Maryland
Bowie State University,2012,6347,Public,Maryland
Bowie State University,2013,6639,Public,Maryland
Bowie State University,2014,6971,Public,Maryland
Bowie State University,2015,7657,Public,Maryland
Bowling Green State University-Main Campus,2011,9704,Public,Ohio
Bowling Green State University-Main Campus,2012,10164,Public,Ohio
Bowling Green State University-Main Campus,2013,10514,Public,Ohio
Bowling Green State University-Main Campus,2014,10726,Public,Ohio
Bowling Green State University-Main Campus,2015,10726,Public,Ohio
Bradley University,2011,25424,Private,Illinois
Bradley University,2012,26704,Private,Illinois
Bradley University,2013,28284,Private,Illinois
Bradley University,2014,29664,Private,Illinois
Bradley University,2015,31480,Private,Illinois
Brandeis University,2011,40289,Private,Massachusetts
Brandeis University,2012,41860,Private,Massachusetts
Brandeis University,2013,44294,Private,Massachusetts
Brandeis University,2014,45856,Private,Massachusetts
Brandeis University,2015,49598,Private,Massachusetts
Brenau University,2011,20130,Private,Georgia
Brenau University,2012,21124,Private,Georgia
Brenau University,2013,22168,Private,Georgia
Brenau University,2014,23350,Private,Georgia
Brenau University,2015,25878,Private,Georgia
Brescia University,2011,17590,Private,Kentucky
