Univ_name,Applicants_total,Admissions_total,State_name,Acceptance_Rate,Controlofinstitution
Virginia State University,5729,5419,Virginia,95,Public
Virginia Union University,4306,2518,Virginia,58,Private
Virginia Wesleyan College,3788,3527,Virginia,93,Private
Viterbo University,1711,1208,Wisconsin,71,Private
Voorhees College,2726,1377,South Carolina,51,Private
Wabash College,,,Indiana,67,Private
Wagner College,2942,2056,New York,70,Private
Wake Forest University,11121,3915,North Carolina,35,Private
Walla Walla University,1051,976,Washington,93,Private
Walsh University,1640,1265,Ohio,77,Private
Warner Pacific College,948,500,Oregon,53,Private
Warner University,1264,427,Florida,34,Private
Warren Wilson College,1214,845,North Carolina,70,Private
Wartburg College,2268,1761,Iowa,78,Private
Washburn University,,,Kansas,100,Public
Washington & Jefferson College,7176,2851,Pennsylvania,40,Private
Washington Adventist University,1455,476,Maryland,33,Private
Washington and Lee University,6222,1147,Virginia,18,Private
Washington College,4786,3185,Maryland,67,Private
Washington State University,14887,12219,Washington,82,Public
Washington University in St Louis,30117,4684,Missouri,16,Private
Wayland Baptist University,581,573,Texas,99,Private
Wayne State College,,,Nebraska,100,Public
Wayne State University,11524,8786,Michigan,76,Public
Waynesburg University,1962,1476,Pennsylvania,75,Private
Webber International University,944,602,Florida,64,Private
Weber State University,,,Utah,75,Public
Webster University,1736,1008,Missouri,58,Private
Welch College,,,Tennessee,98,Private
Wellesley College,4765,1387,Massachusetts,29,Private
Wells College,2214,1321,New York,60,Private
Wentworth Institute of Technology,6146,3541,Massachusetts,58,Private
Wesley College,2933,1833,Delaware,62,Private
Wesleyan College,779,338,Georgia,43,Private
Wesleyan University,10046,2102,Connecticut,21,Private
West Chester University of Pennsylvania,13424,6922,Pennsylvania,52,Public
West Liberty University,2175,1549,West Virginia,71,Public
West Texas A & M University,4632,3429,Texas,74,Public
West Virginia State University,2202,986,West Virginia,45,Public
West Virginia University,16521,14060,West Virginia,85,Public
West Virginia University at Parkersburg,,,West Virginia,56,Public
West Virginia University Institute of Technology,1033,530,West Virginia,51,Public
West Virginia Wesleyan College,1762,1356,West Virginia,77,Private
Western Carolina University,15231,5736,North Carolina,38,Public
Western Connecticut State University,3613,2366,Connecticut,65,Public
Western Governors University,,,Utah,82,Private
Western Illinois University,10554,6260,Illinois,59,Public
Western Kentucky University,8526,7871,Kentucky,92,Public
Western Michigan University,14621,12113,Michigan,83,Public
Western New England University,5988,4881,Massachusetts,82,Private
Western New Mexico University,,,New Mexico,99,Public
Western Oregon University,2848,2512,Oregon,88,Public
Western State Colorado University,1514,1411,Colorado,93,Public
Western Washington University,9526,7974,Washington,84,Public
Westfield State University,5137,3846,Massachusetts,75,Public
Westminster College,1420,1021,Missouri,72,Private
Westminster College,3378,2478,Pennsylvania,73,Private
Westminster College,2461,1850,Utah,75,Private
Westmont College,2145,1505,California,70,Private
Wheaton College,1959,1346,Illinois,69,Private
Wheaton College,3944,2657,Massachusetts,67,Private
Wheeling Jesuit University,1258,867,West Virginia,69,Private
Wheelock College,1570,1149,Massachusetts,73,Private
Whitman College,2586,1473,Washington,57,Private
Whittier College,4381,2771,California,63,Private
Whitworth University,4044,2609,Washington,65,Private
Wichita State University,3492,3344,Kansas,96,Public
Widener University-Main Campus,5461,3673,Pennsylvania,67,Private
Wilberforce University,1534,895,Ohio,58,Private
Wiley College,,,Texas,94,Private
Wilkes University,2998,2278,Pennsylvania,76,Private
Willamette University,8109,4690,Oregon,58,Private
William Carey University,771,376,Mississippi,49,Private
William Jewell College,1433,828,Missouri,58,Private
William Paterson University of New Jersey,8935,6086,New Jersey,68,Public
William Peace University,1083,984,North Carolina,91,Private
William Penn University,836,482,Iowa,58,Private
William Woods University,897,674,Missouri,75,Private
Williams Baptist College,531,361,Arkansas,68,Private
Williams College,7069,1203,Massachusetts,17,Private
Wilmington College,3780,1740,Ohio,46,Private
Wilmington University,,,Delaware,97,Private
Wilson College,450,237,Pennsylvania,53,Private
Wingate University,5323,4221,North Carolina,79,Private
Winona State University,7212,4381,Minnesota,61,Public
Winston-Salem State University,5164,2874,North Carolina,56,Public
Winthrop University,4285,3096,South Carolina,72,Public
Wisconsin Lutheran College,870,553,Wisconsin,64,Private
Wittenberg University,5274,4711,Ohio,89,Private
Wofford College,2718,1870,South Carolina,69,Private
Woodbury University,879,490,California,56,Private
Worcester Polytechnic Institute,8578,4425,Massachusetts,52,Private
Worcester State University,4149,2515,Massachusetts,61,Public
Wright State University-Main Campus,,,Ohio,63,Public
Xavier University,10907,7632,Ohio,70,Private
Xavier University of Louisiana,4703,2560,Louisiana,54,Private
Yale University,28977,2043,Connecticut,7,Private
Yeshiva University,1575,1294,New York,82,Private
York College,546,267,Nebraska,49,Private
York College Pennsylvania,9934,7302,Pennsylvania,74,Private
Youngstown State University,,,Ohio,78,Public
