Name,lon,lat,Controlofinstitution,Website,Acceptance_Rate,State_name,Highest_degree_offered,,Total_Matriculates
Baker College Center for Graduate Studies,-83.694495,42.974759,Private,http://www.baker.edu/baker-center-for-graduate-studies/,100,Michigan,Doctor's degree,,3247
Baker College of Allen Park,-83.203166,42.274542,Private,http://www.baker.edu/baker-college-of-allen-park/,100,Michigan,Bachelor's degree,,
Baker College of Auburn Hills,-83.249027,42.659868,Private,http://www.baker.edu/baker-college-of-auburn-hills/,100,Michigan,Bachelor's degree,,1709
Baker College of Cadillac,-85.380045,44.268014,Private,http://www.baker.edu/baker-college-of-cadillac/,100,Michigan,Bachelor's degree,,1296
Baker College of Clinton Township,-82.90907,42.553231,Private,http://www.baker.edu/baker-college-of-clinton-township/,100,Michigan,Bachelor's degree,,2013
Baker College of Flint,-83.694679,42.974764,Private,http://www.baker.edu/baker-college-of-flint/,100,Michigan,Bachelor's degree,,2120
Baker College of Jackson,-84.451226,42.278175,Private,http://www.baker.edu/baker-college-of-jackson/,100,Michigan,Bachelor's degree,,1112
Baker College of Muskegon,-86.196717,43.244133,Private,http://www.baker.edu/baker-college-of-muskegon/,100,Michigan,Bachelor's degree,,1429
Baker College of Owosso,-84.170882,42.987045,Private,http://www.baker.edu/baker-college-of-owosso/,100,Michigan,Bachelor's degree,,989
Baker College of Port Huron,-82.469672,42.978709,Private,http://www.baker.edu/baker-college-of-port-huron/,100,Michigan,Bachelor's degree,,374
Baker University,-95.188231,38.777278,Private,https://www.bakeru.edu/,87,Kansas,Doctor's degree,,235
Baldwin Wallace University,-81.849112,41.373938,Private,http://www.bw.edu/,64,Ohio,Master's degree,,762
Ball State University,-85.408863,40.198942,Public,http://cms.bsu.edu/,61,Indiana,Doctor's degree,,3616
Bard College,-73.906243,42.021803,Private,http://www.bard.edu/,38,New York,Doctor's degree,,489
Bard College at Simon's Rock,-73.380008,42.209241,Private,http://simons-rock.edu/index1.php?utm_expid=66869115-11.vwaO4Y_URu6EyjdgQnp8mg.1&utm_referrer=https%3A%2F%2Fwww.google.com%2F,92,Massachusetts,Bachelor's degree,,145
Barnard College,-73.964027,40.809137,Private,http://barnard.edu/,21,New York,Bachelor's degree,,580
Barry University,-80.196136,25.878865,Private,https://www.barry.edu/,47,Florida,Doctor's degree,,576
Barton College,-77.913805,35.735463,Private,https://www.barton.edu/,42,North Carolina,Master's degree,,217
Bates College,-70.203333,44.105299,Private,http://www.bates.edu/home/,24,Maine,Bachelor's degree,,500
Bay Path College,-72.583974,42.055364,Private,http://www.baypath.edu/,58,Massachusetts,Master's degree,,135
Baylor University,-97.119359,31.545956,Private,http://www.baylor.edu/,57,Texas,Doctor's degree,,3190
Beacon College,-81.875619,28.810799,Private,http://www.beaconcollege.edu/,65,Florida,Bachelor's degree,,41
Becker College,-71.811895,42.26918,Private,http://www.becker.edu/,63,Massachusetts,Bachelor's degree,,361
Belhaven University,-90.169228,32.318415,Private,http://www.belhaven.edu/,48,Mississippi,Master's degree,,281
Bellarmine University,-85.7049,38.219138,Private,http://www.bellarmine.edu/,95,Kentucky,Doctor's degree,,676
Bellevue University,-95.91764,41.150225,Private,http://www.bellevue.edu/,100,Nebraska,Doctor's degree,,1982
Belmont Abbey College,-81.041847,35.261276,Private,http://belmontabbeycollege.edu/,68,North Carolina,Bachelor's degree,,283
Belmont University,-86.794715,36.133866,Private,http://www.belmont.edu/,80,Tennessee,Doctor's degree,,1248
Beloit College,-89.03147,42.50363,Private,https://www.beloit.edu/,68,Wisconsin,Bachelor's degree,,300
Bemidji State University,-94.874529,47.482505,Public,http://www.bemidjistate.edu/,67,Minnesota,Master's degree,,838
Benedict College,-81.021412,34.011285,Private,http://www.benedict.edu/,77,South Carolina,Bachelor's degree,,40
Benedictine College,-95.111424,39.572953,Private,http://www.benedictine.edu/,61,Kansas,Master's degree,,494
Benedictine University,-88.095948,41.776395,Private,http://www.ben.edu/,69,Illinois,Doctor's degree,,635
Bennett College,-79.77998,36.067531,Private,http://www.bennett.edu/,83,North Carolina,Bachelor's degree,,194
Bennington College,-73.237498,42.92004,Private,http://www.bennington.edu/,65,Vermont,Master's degree,,140
Bentley University,-71.220148,42.388798,Private,http://www.bentley.edu/,44,Massachusetts,Doctor's degree,,974
